Timestamp,Conductivity,Temperature,Pressure,Turbidity,Depth,Salinity,Specific Conductivity,Density Anomaly,Speed of sound
28/09/2023 14:12:58.000,-0.0036139,19.11455639,10.39615358,-2.391745095,0.261503879,0,-4.071596507,-1.614861475,1479.77851
28/09/2023 14:12:59.000,-0.003470812,19.11193236,10.39897549,-6.552082578,0.264302777,0,-3.910607326,-1.614331614,1479.770305
28/09/2023 14:13:00.000,-0.002993852,19.10984845,10.39886912,6.204290337,0.264197275,0,-3.373361595,-1.61392166,1479.763749
28/09/2023 14:13:01.000,-0.002354725,19.10643481,10.3991194,0.027835352,0.264445516,0,-2.653412237,-1.613248262,1479.753017
28/09/2023 14:13:02.000,-0.003241871,19.1105261,10.3994479,-0.903601357,0.264771331,0,-3.652767303,-1.614052463,1479.76589
28/09/2023 14:13:03.000,-0.003051087,19.10760665,10.39796185,-1.326219812,0.263297406,0,-3.438018,-1.613484336,1479.756684
28/09/2023 14:13:04.000,-0.003175097,19.12197027,10.39284052,-4.679631406,0.258217836,0,-3.576648557,-1.616337514,1479.801767
28/09/2023 14:13:05.000,-0.00301293,19.09292392,10.39021887,-1.338192006,0.255617568,0,-3.396095419,-1.610629693,1479.710367
28/09/2023 14:13:06.000,-0.003051087,19.0469522,10.39126378,-0.048786691,0.256653949,0,-3.442511917,-1.601590514,1479.565648
28/09/2023 14:13:07.000,-0.00373791,19.00682758,10.39105417,0.002693744,0.256446052,0,-4.221097254,-1.593724689,1479.439172
28/09/2023 14:13:08.000,-0.003318185,19.00321345,10.39123875,0.03022979,0.256629126,0,-3.747407918,-1.593016106,1479.427776
28/09/2023 14:13:09.000,-0.002726754,19.00192053,10.3910135,0.055371398,0.256405714,0,-3.079558772,-1.592763991,1479.423695
28/09/2023 14:13:10.000,-0.00313694,18.97414169,10.39086959,0.042201985,0.256262979,0,-3.544941174,-1.587329945,1479.336043
28/09/2023 14:13:11.000,-0.002450117,18.97167866,10.39414196,-0.07153386,0.259508667,0,-2.768935164,-1.58683343,1479.328322
28/09/2023 14:13:12.000,-0.003098783,18.95536503,10.39416386,-0.043997814,0.259530388,0,-3.503241342,-1.58364599,1479.276815
28/09/2023 14:13:13.000,-0.003470812,18.94154149,10.39392923,-0.064350544,0.259297666,0,-3.924999698,-1.580948478,1479.233148
28/09/2023 14:13:14.000,-0.001763295,18.87850451,10.39412632,-0.065547763,0.259493153,0,-1.996756559,-1.568667718,1479.03384
28/09/2023 14:13:15.000,-0.003432655,18.79946459,10.39399493,0.055371398,0.259362828,0,-3.893798914,-1.55333145,1478.783454
28/09/2023 14:13:16.000,-0.002383343,18.79000882,10.3942452,0.014665938,0.259611065,0,-2.704075598,-1.551500013,1478.753469
28/09/2023 14:13:17.000,-0.002411961,18.8112028,10.39412319,0.045793643,0.25949005,0,-2.735288093,-1.555604283,1478.820674
28/09/2023 14:13:18.000,-0.00229749,18.84663806,10.39421079,-0.017658986,0.259576933,0,-2.6034744,-1.562475884,1478.932958
28/09/2023 14:13:19.000,-0.004062243,18.88880656,10.39443917,-0.045195033,0.259803449,0,-4.599063004,-1.570670238,1479.066441
