Latitude, Longitude, Data Value
56, -51, -11.512
56, -50, -0.297259
56, -49, 6.41154
56, -48, 8.42525
56, -47, 4.63626
56, -46, 0.0969295
56, -45, 5.44401
56, -44, 9.07142
56, -43, 3.66996
56, -42, -7.226
56, -41, -13.8211
56, -40, -10.0274
56, -39, -6.32179
56, -38, -20.9925
56, -37, -29.7699
56, -36, -28.3512
56, -35, -32.6928
56, -34, -25.3061
56, -33, -14.6711
56, -32, -21.5493
56, -31, -36.5795
56, -30, -38.2849
56, -29, -15.9954
56, -28, 8.34553
56, -27, 13.8207
56, -26, 4.67634
56, -25, -25.1586
56, -24, -38.7572
56, -23, -46.9542
55, -85, -999
55, -84, -999
55, -83, -999
55, -82, -999
55, -81, -999
55, -80, -999
55, -79, -999
55, -78, -999
55, -77, -999
55, -76, -999
55, -75, -999
55, -74, -999
55, -73, -999
55, -72, -999
55, -71, -999
55, -70, -999
55, -69, -999
55, -68, -999
55, -67, -999
55, -66, -999
55, -65, -999
55, -64, -999
55, -63, -999
55, -62, -999
55, -61, -999
55, -60, -999
55, -59, -999
55, -58, 147.27
55, -57, 114.096
55, -56, 88.1542
55, -55, 60.3722
55, -54, 39.1045
55, -53, 28.7167
55, -52, 18.8813
55, -51, 12.8634
55, -50, 0.677337
55, -49, 0.923984
55, -48, 11.0088
55, -47, 15.2696
55, -46, 11.731
55, -45, 2.26849
55, -44, -4.26759
55, -43, -1.97762
55, -42, 4.76986
55, -41, 1.26766
55, -40, -7.95501
55, -39, -15.9489
55, -38, -20.6747
55, -37, -11.2798
55, -36, -6.91098
55, -35, -12.8902
55, -34, -15.0714
55, -33, -13.6458
55, -32, -13.2977
55, -31, -21.3896
55, -30, -16.5111
55, -29, -4.12159
55, -28, -5.11581
55, -27, -18.408
55, -26, -28.1222
55, -25, -35.0453
55, -24, -29.0624
55, -23, -32.0193
54, -85, -999
54, -84, -999
54, -83, -999
54, -82, -999
54, -81, -999
54, -80, -999
54, -79, -999
54, -78, -999
54, -77, -999
54, -76, -999
54, -75, -999
54, -74, -999
54, -73, -999
54, -72, -999
54, -71, -999
54, -70, -999
54, -69, -999
54, -68, -999
54, -67, -999
54, -66, -999
54, -65, -999
54, -64, -999
54, -63, -999
54, -62, -999
54, -61, -999
54, -60, -999
54, -59, -999
54, -58, -999
54, -57, 124.101
54, -56, 73.0748
54, -55, 57.6231
54, -54, 68.7143
54, -53, 64.5048
54, -52, 43.2412
54, -51, 22.7563
54, -50, -0.997935
54, -49, -18.4656
54, -48, 3.75649
54, -47, 19.4868
54, -46, 19.024
54, -45, 10.2245
54, -44, -6.8763
54, -43, -13.7532
54, -42, -0.572164
54, -41, 6.11562
54, -40, -7.99616
54, -39, -23.5148
54, -38, -30.2317
54, -37, -19.6086
54, -36, -3.5319
54, -35, -5.08337
54, -34, -14.3445
54, -33, -16.7744
54, -32, -15.1241
54, -31, -23.9501
54, -30, -13.8124
54, -29, 1.08851
54, -28, -9.00696
54, -27, -47.8973
54, -26, -68.8733
54, -25, -43.4023
54, -24, -1.85186
54, -23, 51.1994
53, -85, -999
53, -84, -999
53, -83, -999
53, -82, -999
53, -81, -999
53, -80, -999
53, -79, -999
53, -78, -999
53, -77, -999
53, -76, -999
53, -75, -999
53, -74, -999
53, -73, -999
53, -72, -999
53, -71, -999
53, -70, -999
53, -69, -999
53, -68, -999
53, -67, -999
53, -66, -999
53, -65, -999
53, -64, -999
53, -63, -999
53, -62, -999
53, -61, -999
53, -60, -999
53, -59, -999
53, -58, -999
53, -57, -999
53, -56, 9.99441
53, -55, 30.2198
53, -54, 46.9624
53, -53, 45.6353
53, -52, 38.7042
53, -51, 33.8778
53, -50, 16.68
53, -49, -8.10776
53, -48, -11.222
53, -47, -26.144
53, -46, -26.6682
53, -45, -23.8223
53, -44, -24.2175
53, -43, -25.7556
53, -42, -6.88538
53, -41, 18.6987
53, -40, 11.7775
53, -39, -9.32477
53, -38, -19.6549
53, -37, -6.20742
53, -36, 12.2812
53, -35, 12.7816
53, -34, -5.76843
53, -33, -19.4034
53, -32, -11.023
53, -31, -4.39999
53, -30, 16.4599
53, -29, 34.0643
53, -28, 36.9556
53, -27, 14.6538
53, -26, -29.1959
53, -25, -26.8193
53, -24, -11.3752
53, -23, 26.1174
52, -85, -999
52, -84, -999
52, -83, -999
52, -82, -999
52, -81, -999
52, -80, -999
52, -79, -999
52, -78, -999
52, -77, -999
52, -76, -999
52, -75, -999
52, -74, -999
52, -73, -999
52, -72, -999
52, -71, -999
52, -70, -999
52, -69, -999
52, -68, -999
52, -67, -999
52, -66, -999
52, -65, -999
52, -64, -999
52, -63, -999
52, -62, -999
52, -61, -999
52, -60, -999
52, -59, -999
52, -58, -999
52, -57, -999
52, -56, 93.8665
52, -55, 93.9926
52, -54, 96.9132
52, -53, 84.528
52, -52, 71.6416
52, -51, 60.717
52, -50, 33.4983
52, -49, 3.65071
52, -48, -17.8427
52, -47, -22.0198
52, -46, -19.1665
52, -45, -39.3132
52, -44, -27.8654
52, -43, -27.113
52, -42, -37.4575
52, -41, -6.32836
52, -40, 14.1569
52, -39, -24.3707
52, -38, -60.3165
52, -37, -42.4527
52, -36, -8.41542
52, -35, 5.86297
52, -34, -28.2215
52, -33, -55.0779
52, -32, -25.3566
52, -31, -21.3244
52, -30, -3.16094
52, -29, 9.02653
52, -28, 33.6551
52, -27, 68.0935
52, -26, 48.3935
52, -25, 17.5104
52, -24, 1.43225
52, -23, -1.80471
51, -85, -999
51, -84, -999
51, -83, -999
51, -82, -999
51, -81, -999
51, -80, -999
51, -79, -999
51, -78, -999
51, -77, -999
51, -76, -999
51, -75, -999
51, -74, -999
51, -73, -999
51, -72, -999
51, -71, -999
51, -70, -999
51, -69, -999
51, -68, -999
51, -67, -999
51, -66, -999
51, -65, -999
51, -64, -999
51, -63, -999
51, -62, -999
51, -61, -999
51, -60, -999
51, -59, 131.688
51, -58, 115.328
51, -57, -999
51, -56, 134.086
51, -55, 150.074
51, -54, 160.751
51, -53, 105.575
51, -52, 65.3783
51, -51, 53.8123
51, -50, 53.4349
51, -49, 41.8234
51, -48, 20.0361
51, -47, 3.88467
51, -46, -5.42447
51, -45, -70.9893
51, -44, -148.012
51, -43, -71.3401
51, -42, -8.90394
51, -41, -48.8669
51, -40, -29.3423
51, -39, 13.5412
51, -38, -61.5807
51, -37, -84.1391
51, -36, 46.4621
51, -35, 84.5407
51, -34, -38.0057
51, -33, -41.3624
51, -32, 31.086
51, -31, 0.218594
51, -30, -26.6169
51, -29, -5.1745
51, -28, 38.4238
51, -27, 67.9533
51, -26, 69.8576
51, -25, 52.8726
51, -24, 23.3069
51, -23, 35.1946
50, -85, -999
50, -84, -999
50, -83, -999
50, -82, -999
50, -81, -999
50, -80, -999
50, -79, -999
50, -78, -999
50, -77, -999
50, -76, -999
50, -75, -999
50, -74, -999
50, -73, -999
50, -72, -999
50, -71, -999
50, -70, -999
50, -69, -999
50, -68, -999
50, -67, 134.082
50, -66, 133.567
50, -65, 134.96
50, -64, -999
50, -63, 98.8217
50, -62, 82.3636
50, -61, 85.201
50, -60, 88.2983
50, -59, 92.3225
50, -58, -999
50, -57, 98.9322
50, -56, 152.104
50, -55, 166.62
50, -54, 144.508
50, -53, 91.1507
50, -52, 92.9365
50, -51, 109.751
50, -50, 94.439
50, -49, 62.1151
50, -48, 18.2196
50, -47, -8.4708
50, -46, -2.57906
50, -45, -34.956
50, -44, -69.1477
50, -43, -60.1987
50, -42, -26.6345
50, -41, 14.718
50, -40, 46.5211
50, -39, 104.588
50, -38, 25.0642
50, -37, -27.0818
50, -36, 106.449
50, -35, 105.411
50, -34, 6.62857
50, -33, 39.165
50, -32, 38.6647
50, -31, 3.62456
50, -30, 1.1061
50, -29, 0.0312055
50, -28, -37.1248
50, -27, -40.6575
50, -26, 10.3649
50, -25, 38.4909
50, -24, 0.852962
50, -23, -40.1757
49, -85, -999
49, -84, -999
49, -83, -999
49, -82, -999
49, -81, -999
49, -80, -999
49, -79, -999
49, -78, -999
49, -77, -999
49, -76, -999
49, -75, -999
49, -74, -999
49, -73, -999
49, -72, -999
49, -71, -999
49, -70, -999
49, -69, -118.549
49, -68, -999
49, -67, -999
49, -66, -999
49, -65, -999
49, -64, 153.309
49, -63, 137.49
49, -62, 142.324
49, -61, 115.344
49, -60, 83.7414
49, -59, 72.704
49, -58, -999
49, -57, -999
49, -56, -999
49, -55, -999
49, -54, 182.037
49, -53, 151.909
49, -52, 134.615
49, -51, 140.994
49, -50, 142.103
49, -49, 110.648
49, -48, 53.4841
49, -47, 15.0218
49, -46, 10.8203
49, -45, 20.0808
49, -44, 7.20095
49, -43, -62.522
49, -42, -59.7828
49, -41, -6.38218
49, -40, -53.4187
49, -39, -56.3877
49, -38, -50.0713
49, -37, -56.6931
49, -36, -29.2163
49, -35, -35.2737
49, -34, -35.695
49, -33, 0.802141
49, -32, -35.3184
49, -31, -86.8376
49, -30, -78.1439
49, -29, -33.616
49, -28, -2.99445
49, -27, -16.6299
49, -26, -41.2783
49, -25, -57.4893
49, -24, -42.8553
49, -23, -0.906028
48, -85, -999
48, -84, -999
48, -83, -999
48, -82, -999
48, -81, -999
48, -80, -999
48, -79, -999
48, -78, -999
48, -77, -999
48, -76, -999
48, -75, -999
48, -74, -999
48, -73, -999
48, -72, -999
48, -71, -999
48, -70, -999
48, -69, -999
48, -68, -999
48, -67, -999
48, -66, -999
48, -65, -999
48, -64, 145.714
48, -63, 118.591
48, -62, 140.798
48, -61, 129.428
48, -60, 117.089
48, -59, -999
48, -58, -999
48, -57, -999
48, -56, -999
48, -55, -999
48, -54, 154.604
48, -53, -999
48, -52, 142.271
48, -51, 127.731
48, -50, 125.013
48, -49, 115.7
48, -48, 76.5329
48, -47, 40.6471
48, -46, 16.8561
48, -45, 17.217
48, -44, 23.5724
48, -43, 6.63898
48, -42, 47.7589
48, -41, 16.8601
48, -40, -57.8151
48, -39, -3.59194
48, -38, 53.655
48, -37, -34.2654
48, -36, -102
48, -35, -73.0771
48, -34, -25.2265
48, -33, -12.5722
48, -32, -18.7456
48, -31, -40.6088
48, -30, -73.7936
48, -29, -96.6732
48, -28, -70.6291
48, -27, -43.9661
48, -26, -26.0398
48, -25, 14.8648
48, -24, 22.5359
48, -23, -24.9394
47, -85, -999
47, -84, -999
47, -83, -999
47, -82, -999
47, -81, -999
47, -80, -999
47, -79, -999
47, -78, -999
47, -77, -999
47, -76, -999
47, -75, -999
47, -74, -999
47, -73, -999
47, -72, -999
47, -71, -999
47, -70, -999
47, -69, -999
47, -68, -999
47, -67, -999
47, -66, -999
47, -65, -999
47, -64, -999
47, -63, 154.15
47, -62, 147.502
47, -61, -999
47, -60, 116.389
47, -59, 104.679
47, -58, 106.752
47, -57, 117.498
47, -56, 109.797
47, -55, 102.009
47, -54, 111.141
47, -53, 139.108
47, -52, 139.077
47, -51, 99.1485
47, -50, 80.1641
47, -49, 94.5552
47, -48, 85.4179
47, -47, 49.0833
47, -46, 13.5435
47, -45, -7.55099
47, -44, -27.9192
47, -43, -15.5312
47, -42, 37.4137
47, -41, -44.5632
47, -40, -142.026
47, -39, -90.281
47, -38, 20.1856
47, -37, 31.8611
47, -36, -27.5319
47, -35, -39.5761
47, -34, -13.808
47, -33, -17.0359
47, -32, -12.9988
47, -31, 44.6836
47, -30, 76.4914
47, -29, 100.492
47, -28, 74.195
47, -27, -0.115972
47, -26, 31.0853
47, -25, 80.4753
47, -24, 41.7298
47, -23, -52.9919
46, -85, -999
46, -84, -999
46, -83, -999
46, -82, -999
46, -81, -999
46, -80, -999
46, -79, -999
46, -78, -999
46, -77, -999
46, -76, -999
46, -75, -999
46, -74, -999
