,0
478,-1230272
479,-1230272
480,-1227264
481,-1230272
482,-1233280
483,-1227264
484,-1230272
485,-1230272
486,-1230272
487,-1230272
488,-1230272
489,-1230272
490,-1233280
491,-1230272
492,-1230272
493,-1233280
494,-1230272
495,-1233280
496,-1233280
497,-1230272
498,-1233280
499,-1233280
500,-1230272
501,-1230272
502,-1230272
503,-1233280
504,-1233280
505,-1230272
506,-1233280
507,-1233280
508,-1233280
509,-1233280
510,-1230272
511,-1236288
512,-1233280
513,-1230272
514,-1233280
515,-1233280
516,-1233280
517,-1233280
518,-1233280
519,-1236288
520,-1236288
521,-1233280
522,-1233280
523,-1233280
524,-1236288
525,-1233280
526,-1233280
527,-1236288
528,-1236288
529,-1233280
530,-1236288
531,-1233280
532,-1236288
533,-1236288
534,-1233280
535,-1236288
536,-1236288
537,-1236288
538,-1236288
539,-1233280
540,-1236288
541,-1236288
542,-1233280
543,-1236288
544,-1236288
545,-1236288
546,-1236288
547,-1233280
548,-1239296
549,-1236288
550,-1236288
551,-1236288
552,-1236288
553,-1236288
554,-1236288
555,-1233280
556,-1239296
557,-1236288
558,-1236288
559,-1236288
560,-1233280
561,-1236288
562,-1236288
563,-1236288
564,-1236288
565,-1236288
566,-1236288
567,-1236288
568,-1236288
569,-1239296
570,-1236288
571,-1236288
572,-1239296
573,-1239296
574,-1236288
575,-1239296
576,-1233280
577,-1239296
578,-1239296
579,-1236288
580,-1239296
581,-1236288
582,-1239296
583,-1236288
584,-1236288
585,-1239296
586,-1239296
587,-1236288
588,-1236288
589,-1236288
590,-1239296
591,-1239296
592,-1236288
593,-1239296
594,-1239296
595,-1236288
596,-1239296
597,-1236288
598,-1242304
599,-1239296
600,-1236288
601,-1239296
602,-1239296
603,-1239296
604,-1239296
605,-1236288
606,-1242304
607,-1239296
608,-1239296
609,-1239296
610,-1239296
611,-1242304
612,-1239296
613,-1239296
614,-1242304
615,-1239296
616,-1239296
617,-1239296
618,-1239296
619,-1239296
620,-1239296
621,-1236288
622,-1239296
623,-1239296
624,-1239296
625,-1239296
626,-1239296
627,-1242304
628,-1239296
